,inputs1,inputs2,labels
3831,I made Hot Cross buns on the Easter Holiday.,"I made Hot Cross buns on the Easter Holiday. They turned out too hard, they were overcooked.",0
3832,I was waiting for a package. The package was damage when it was delivered.,I was waiting for a package.,1
3833,I got scared by a fly buzzing around my room.,I got scared by a wasp buzzing around my room.,0
3834,I spilled coffee on the novel that I was reading.,I spilled coffee on the newspaper that I was reading.,1
3835,I went figure skating and lost my balance and fell. ,I went figure skating and fell and broke my knee. ,0
3836,I took my car to the mechanic.,I took my car to the mechanic. He told me there was nothing wrong with it.,1
3837,I visited my local farmers market. I got some great strawberries there.,I visited my local farmers market.,0
3838,I decided to get a Mohawk in my second year of college.,I decided to get a Mohawk in my second year of college. I liked how the extreme style looked.,1
3839,I created a water feature for my garden.,I created a water feature for my garden. The pump burned out and it became a mosquito breeding ground.,0
3840,"After a long afternoon of hiking, I felt sweaty and gross.","After a long afternoon of hiking, I felt proud of exercising.",1
3841,I went fishing on the river. I got 2 bass fish and had them for dinner.,I went fishing on the river. I got a nice tan while in the sun.,0
3842,MY jacket had a blood stain after I let my friend wear it.,My jacket had a sweat stain after I let my friend wear it.,1
3843,I got hired as a Hippotherapist. The job allowed me to get fresh air and sunshine all day.,I got hired as a Hippotherapist.,0
3844,I decided to go for a drive out in the country. A deer ran right out in front of me and I swerved into a ditch.,"I decided to go for a drive out in the country. A severe rain storm started half way through, I had to go home early.",1
3845,I wrote my calculus exam. I struggled with a majority of the exam.,I wrote my calculus exam. My professor caught me cheating and I failed the course.,0
3846,I accidentally dropped my wallet into a river.,I accidentally dropped my wallet into a puddle.,1
3847,I located a rare newt in my yard.,I located a rare newt in my yard. it seemed to be sick.,0
3848,I went treasure hunting at the beach and I found a soda can. ,I went treasure hunting at the beach and I found a pearl.,1
3849,I woke up to a bright and sunny day Then there was a thunderstorm,I woke up to a bright and sunny day Lightning struck my house,0
3850,I think we should take a break from work and go to that fast food joint across town.,I think we should take a break from work and go to that casual dining restaurant nearby.,1
3851,"I wanted to spend the weekend playing video games, so I sat down at my XBox.","I wanted to spend the weekend playing video games, but instead I studied for my test.",0
3852,I practiced my Archery skills. The arrow missed the target widely.,I practiced my Archery skills.,1
3853,I fell off the ladder and into a grassy area.,I fell off the ladder and into a rocky area.,0
3854,I went on my first cruise. I contracted Norovirus and was quarantined the entire time.,I went on my first cruise. I was seasick the first day.,1
3855,I heard the singer/songwriter lady firmly and decisively calling out the chords and it really helped me keep up with the jam.,"I heard the singer/songwriter lady firmly and decisively calling out the chords and I thought, who the heck does she think she is.",0
3856,I tried pumpkin pie for the first time. The pie was really dry and it made me cough.,I tried pumpkin pie for the first time.,1
3857,I tried a new recipe.,"I tried a new recipe. I cooked it right, but I didn't like the flavor, so I never made it again.",0
3858,I grew grapes in my orchard. My grapes produced a rare vintage that I enjoyed.,I grew grapes in my orchard. My grapes produced an award winning wine that made me wealthy.,1
3859,I had to stay at home because my car had a flat tire.,I had to stay at home because my car's alternator was broken.,0
3860,I went to watch a football game.,I went to watch a football game. My favorite team won and I went out to celebrate.,1
3861,I have a son who graduated and was class valedictorian.,I have a son who graduated and was class salutatorian.,0
3862,"I had my annual performance review at work this week. I had my annual performance review at work this week, and I ended up getting put on probation and might get a demotion.","I had my annual performance review at work this week. I had my annual performance review at work this week, and it turns out I've not been doing as good of a job as I thought I was.",1
3863,We took a tour of an old ghost town. The tour guide was short with us and in a bad mood.,We took a tour of an old ghost town. I ran into one of the buildings and broke my nose.,0
3864,I got on the bus but I did not have enough money. The driver told me to get off the bus and slammed the doors in my face.,I got on the bus but I did not have enough money. The driver told me I would have to wait for the next bus.,1
3865,I told my girlfriend that I wanted to start losing weight and she encouraged me.,I told my girlfriend that I wanted to start losing weight and she laughed at me.,0
3866,I made spicy chili at home. It caused my kids to get food poisoning.,I made spicy chili at home. It was too spicy and gave the kids indigestion.,1
3867,"I worked as a radiation therapist, helping people. The job gave me great benefits.","I worked as a radiation therapist, helping people.",0
3868,I cooked some ribeye steak for dinner.  The steak was lacking in salt but juicy. ,I cooked some ribeye steak for dinner.  The steak was well-seasoned and juicy. ,1
3869,I got invited by my friend to a hunting cabin. ,I got invited by my friend to a hunting cabin.  I got sick up at the hunting cabin. ,0
3870,I went fishing with my father. We didnt catch an fish but we talked a lot.,"I went fishing with my father. We caught a lot of fish, we also talked for hours.",1
3871,I took a ride on my bicycle. The weather was clear and warm.,I took a ride on my bicycle.,0
3872,"I read an article that talked about a book that my favorite author has just released.  After reading the book, I was pretty disappointed, it wasn't nearly as good as their other works. ",I read an article that talked about a book that my favorite author has just released.  I could not find the book anywhere. ,1
3873,I went to the gymnasium to get ready for my championship game. ,I went to the gymnasium to get ready for my opening round game. ,0
3874,I just signed up to the gym but they do not have swimming pool.,I just signed up to the gym and they have a swimming pool.,1
3875,I went for a walk on a bridge. I found a diamond on the ground.,I went for a walk on a bridge. The day was peaceful with no ill events.,0
3876,I went to the hospital room to check on my son who had kidney surgery.,I went to the hospital room to check on my son who got his tonsils out. ,1
3877,I'm taking my dog for a walk because he is feeling energetic. ,I'm taking my dog for a walk because he needs to go to the bathroom. ,0
3878,My doctor put me on antidepressants.,My doctor put me on antidepressants. My depression has substantially improved.,1
3879,"When I took my dog to the groomer, she said she'd never seen a cuter dog.","When I took my dog to the groomer, she said she'd never seen a uglier dog.",0
3880,The water spilled out on the floor from the tank when I dropped it.,The water spilled out on the floor from the tank when I was cleaning it.,1
3881,I started a small business.,I started a small business. I hired some employees but they started embezzling funds.,0
3882,I sold my ipad. the buyer paid me less than what i wanted but i had to sell it.,I sold my ipad.,1
3883,My friend borrowed my camera for outdoor photography and later returned it in pristine condition.,My friend borrowed my camera for outdoor photography and later returned it with a cracked lens.,0
3884,I took a vacation with my family to Europe and visited Auschwitz.,I took a vacation with my family to Europe and visited Munich. ,1
3885,I tried my hand at archery.,I tried my hand at archery. I couldn't string the bow.,0
3886,I saw dogs living in the Russian subway.,I saw dogs living in the Russian subway. A cute puppy begged me for food and I gave him half my sandwich.,1
3887,My daughter drew a picture of our family and gave it to me.,My daughter drew a picture of her hand and gave it to me.,0
3888,I tried to make jerky at home. Mold grew on it and it rotted quickly.,I tried to make jerky at home. It was so salty that it made your eyes water and you felt ill.,1
3889,I hurt my wrist because I was playing too many video games.,I hurt my wrist because I fell down the stairs.,0
3890,I went fishing with my dad. We got stuck in the mud.,I went fishing with my dad. We didn't catch anything too big.,1
3891,"I needed to buy a new dress. The one that I ordered didn't fit, so I had to order up a size.",I needed to buy a new dress. I wasn't able to find any dress in my size at all.,0
3892,The robber got away with my purse but I had spent almost all my currency.,The robber got away with my purse but I had just spent all my currency.,1
3893,I worked as a community organizer for a poor part of the city.,I worked as a community organizer for a poor part of the city. Many people slammed their doors in my face.,0
3894,I planted several new plants in the garden. I planted several new plants in the garden but they haven't grown any yet.,I planted several new plants in the garden. I planted several new plants in the garden and they're growing a lot.,1
3895,I decided to design interesting face masks while being quarantined. I was able to entertain my family with mask surprises.,I decided to design interesting face masks while being quarantined.,0
3896,"I had trouble paying my electric bill. I applied for the CARE program, because I am poor, and they cut my bill drastically.",I had trouble paying my electric bill. I was able to work out a deal with Salvation Army and they paid my bill.,1
3897,The nurse who took my temperature was very kind and gentle.,The nurse who took my temperature was very impersonal and rough.,0
3898,I put a privacy fence up in my back yard.  I didn't buy enough fence posts so I couldn't finish the job. ,I put a privacy fence up in my back yard. ,1
3899,I had to comb out my daughters hair.,I had to comb out my daughters hair. I had to start combing her hair from the bottom because there were some knots.,0
3900,My daughter became a model. The camera man keeps zooming in on her crotch.,My daughter became a model.,1
3901,I want to buy a new guitar. I went to a guitar store and found the one that i wanted.,I want to buy a new guitar.,0
3902,I had an apple for dessert after dinner tonight.,I had a slice of chocolate cake for dessert after dinner tonight.,1
3903,My father purchased a new truck. I has enough seats for my entire family.,My father purchased a new truck. I has enough seats for two people.,0
3904,It was time to mow the lawn last spring. They were too expensive.,It was time to mow the lawn last spring. I rolled out my lawnmower.,1
3905,I decided to dig my own water well at home by hand. I was able to prevail by working hard and safely.,I decided to dig my own water well at home by hand.,0
3906,The judge glared at me when I walked into the courtroom.,The judge smiled at me when I walked into the courtroom.,1
3907,I was cleaning my bathtub. I saw a roach come up the drain and ran out of the bathroom.,I was cleaning my bathtub. I almost fell and accidentally snagged the shower curtains down.,0
3908,I tried to trim my own hair. I gathered my hair in a ponytail at the back of my neck to easily cut it.,I tried to trim my own hair.,1
3909,I'm putting my jacket on because I'm going out to meet friends. ,I'm putting my jacket on because I'm going out to take out the trash.,0
3910,I repaired a squeak in my floorboards. While under the house repairing the floor I got trapped and the firemen had to rescue me.,I repaired a squeak in my floorboards. The repair caused the floor to sag and create a trip hazard.,1
3911,I had to remove the bamboo from my fenceline.,I had to remove the bamboo from my fenceline. The bamboo was tall and hard to handle.,0
3912,I went walking in the rain.  I slipped and fell on my butt.,I went walking in the rain. ,1
3913,Mom took me on a nice hike to show me the neighborhood. We went far and got lost.,Mom took me on a nice hike to show me the neighborhood. Some dogs chased us and we were bitten.,0
3914,"I would play the piano but, my cousin saxophone mouthpiece was broke.","I would play the piano but, my cousin saxophone needed cleaning",1
3915,I curled up on the couch to binge watch my favorite series on Netflix. My mother called and I had to stop watching to talk to her.,I curled up on the couch to binge watch my favorite series on Netflix. Partway through Netflix stopped working.,0
3916,I went to an art museum in Downtown Los Angeles. ,I went to an art museum in Downtown Los Angeles.  The admission was free for some parts of the museum. ,1
3917,I went to a ski resort with friends. I went to a ski resort with friends. The sky was clear.,I went to a ski resort with friends.,0
3918,"I went for a drive to the beach. It was a relaxing drive, I went back as soon as I got there.","I went for a drive to the beach. It was a relaxing drive, I ate some seafood at a restaurant.",1
3919,My professor emailed me to let me know that my work on the project was subpar.,My professor publicly announced to the class that my work on the project was subpar.,0
3920,I baked a wedding cake for my friend.,I baked a wedding cake for my friend. The cake turned out perfectly and was striking.,1
3921,I laid down and fell asleep in the bed in my room.,I laid down and fell asleep in the bed in the hospital room.,0
3922,My kitten chewed a hole in my favorite sweater.,My kitten took a nap on my favorite sweater.,1
3923,I went to the arcade with my family.,I went to the arcade with my family. I didn't win any tickets and lost a lot of money. ,0
3924,"I held my friend's baby, and it drooled on me.","I held my friend's baby, and it fell asleep.",1
3925,I took a trip to the grocery store. I made a list to and remembered to take it with me.,"I took a trip to the grocery store. I made a list, but forgot it at home.",0
3926,I went Ice fishing on the large lake. I didn't catch anything but a cold.,I went Ice fishing on the large lake.,1
3927,I bought a motor home to go camping.,I bought a motor home to go camping. I had to repaint the motor home.,0
3928,My boyfriend gave me a fur coat for Christmas. It smelled rather odd.,My boyfriend gave me a fur coat for Christmas.,1
3929,I had to go to the dentist recently.,I had to go to the dentist recently. He told me I had a cavity.,0
3930,"I decided to try dipping my own candles. I wasted all the wax by spilling it on my sofa, which was destroyed.",I decided to try dipping my own candles. I ended up wasting $25 worth of wax.,1
3931,I brought my car to the shop for an oil change. ,"I brought my car to the shop for an oil change.  The mechanic told me I had a flat tire, but he was able to patch it up. ",0
3932,I was arrested by the police. I was found guilty and had to spend 5 years in jail.,I was arrested by the police. I was given a short jail sentence.,1
3933,I went to the zoo with my girlfriend. We fed the giraffes and she couldn't stop grinning for the rest of the day.,I went to the zoo with my girlfriend. Seeing the animals was a fun way to pass the time.,0
3934,My employer allowed me to go on a vacation I complained about the boring nature of my job,My employer allowed me to go on a vacation,1
3935,"I was at the bookstore yesterday, there was a sale going on.","I was at the bookstore yesterday, I accidentally ripped a page out of a book.",0
3936,I auditioned for a part on a local TV show. The casting director said I just wasn't right for the part at all.,I auditioned for a part on a local TV show. I was told to keep working hard and to try again later.,1
3937,I am cleaning the gutters,I am cleaning the gutters I got dirt and grime all over myself,0
3938,I picked up my niece from a dance club. We went home for the night.,I picked up my niece from a dance club. I took her to her favorite ice cream shop.,1
3939,I was assigned a new locker at the beginning of the school year. It was in the least convenient location possible.,I was assigned a new locker at the beginning of the school year. Bullies shoved me into at least once a week.,0
3940,"I went to a concert with a group of my friends over the weekend.  There were very tall people in front of us, blocking our view of the stage. ",I went to a concert with a group of my friends over the weekend. ,1
3941,My brother ran away from home but my father found him before he got on the bus.,My brother ran away from home but the police found him in another city.,0
3942,I went to the pharmacy to buy some Tylenol.,I went to the pharmacy to buy some Tylenol. I bought myself a candy bar while I was there.,1
3943,I got a call from the bank. They said there was an error and I had $500 extra dollars in my account.,I got a call from the bank. They offered me free tax services for this year.,0
3944,"I hired a wedding planner for my wedding. She didn't know any caterers, photographers, or djs.",I hired a wedding planner for my wedding. She didn't know any caterers or photographers.,1
3945,I was taking a picture with my family. Everyone was dressed well for the picture.,I was taking a picture with my family.,0
3946,"I didn't have insurance and I got sick. I finally had to go to the emergency room, the bill will probably bankrupt me.",I didn't have insurance and I got sick. The infection began to cause my arm to lose feeling.,1
3947,"I walked down to the shore before dawn. I caught the sunrise, found pretty shells, and chatted with some friendly locals digging for oysters. ",I walked down to the shore before dawn. I missed the sunrise but found some pretty shells. ,0
3948,I tried to go to bed. There was too much light in the room and it was too hot.,I tried to go to bed.,1
3949,I had the flu a couple weeks ago. I feel even worse than before.,"I had the flu a couple weeks ago. I feel even worse than before, the doctor says it could be COVID.",0
3950,I went hunting with my dad and he accidentally cut me with a knife. ,I went hunting with my dad but he couldn't keep up. ,1
3951,"While I was on a ski trip with my class, I sprained my ankle. ","While on a ski trip with my class, I broke my ankle. ",0
3952,I washed my car yesterday. A bird pooped on it this morning.,I washed my car yesterday.,1
3953,I painted my car at home by myself. The paint dried spochy and uneven.,I painted my car at home by myself. The paint ate through the undercoat and rusted the whole car.,0
3954,I decided to clean out the gutters of my house.,I decided to clean out the gutters of my house. The house looks much more presentable now.,1
3955,This afternoon I tried to unclog the bathtub drain.,This afternoon I tried to unclog the bathtub drain. The smell nearly made me gag.,0
3956,My father in-law came and visited us in march of last year.,My sister came and visited us in march of last year.,1
3957,I had to go to the hospital today. My wife was giving birth to our first child!,I had to go to the hospital today.,0
3958,I had to call tech support. They answered the phone quickly and the man was nice and fixed my problem.,I had to call tech support. They answered the phone quickly and the man was nice and fixed my problem in no time.,1
3959,"As I was waiting for the bus, I saw a caterpillar crawling along the ground.","As I was waiting for the bus, I saw a caterpillar infected with parasitoid wasp larvae.",0
3960,I made a trip to the bank. The line-up was long. I was in and out after two hours.,I made a trip to the bank. The line-up was short. I was in and out in under ten minutes.,1
3961,My boss called me down.,My boss called me down. He said I looked worse than usual.,0
3962,I tripped over a rock while jogging and broke my femur bone when I fell.,I tripped over a rock while jogging and broke my toe when I fell.,1
3963,I walked to the grocery store.,I walked to the grocery store. There was a line to get inside.,0
3964,I'm working on getting an online degree in marketing. My online marketing degree is paying off with a lot of mid-level job offers.,I'm working on getting an online degree in marketing. My online marketing degree is paying off with a high paying career.,1
3965,I got up early to see the sunrise.,I got up early to see the sunrise. It was overcast and it became light without  a visible sun.,0
3966,I was washing my car.,I was washing my car. It was clean after I was through.,1
3967,I wrote a letter to my senator. He contacted me in person to discuss the issues I had.,I wrote a letter to my senator. He contacted me by phone within days.,0
3968,I went to the Principal's office. I got a lengthy lecture.,I went to the Principal's office.,1
3969,I got into a serious discussion with my brother. We had a tense moment.,I got into a serious discussion with my brother. My brother said he didn't care about my feelings.,0
3970,I went to the plaza for the parade but the cops arrested me for trespassing. ,I went to the plaza for the parade but couldn't see anything. ,1
3971,I went to the doctor for a check up. The doctor said I qualified for a study and the study paid 250.00 per day.,I went to the doctor for a check up.,0
3972,I bought a new baby grand piano. ,I bought a new baby grand piano.  My child became interested in taking piano lessons. ,1
3973,My sister attended my girlfriend's birthday party yesterday ,My sister couldn't attend my girlfriend's birthday party yesterday ,0
3974,The boots I ordered came in the mail a day late but were exactly what I wanted. ,The boots I ordered came in the mail and were exactly what I wanted. ,1
3975,I ran into an old acquaintance. They saw me and ran the other way.,I ran into an old acquaintance. They spit in my face.,0
3976,I put some cookies in the oven to bake. I left them in too long and they caught fire.,I put some cookies in the oven to bake. I forgot to put baking powder and the cookies did not rise.,1
3977,I went to the dog park.,I went to the dog park. I was exposed to second hand smoking.,0
3978,I decided to go on vacation to the United States.,"I decided to go on vacation to the United States. Everyone was very friendly, even strangers.",1
3979,I decided to order steak for my birthday dinner. It was a tasty porterhouse.,I decided to order steak for my birthday dinner.,0
3980,"I decided to add insulation in my attic. I stepped through the ceiling, damaging the ceiling tile.",I decided to add insulation in my attic. I felt scratchy from the insulation.,1
3981,I got my girlfriend a present. She said she really liked the gift.,I got my girlfriend a present. It was a box of chocolates.,0
3982,I decided to hitch hike to the grocery store. I was kidnapped and held for ransom by the ride given.,"I decided to hitch hike to the grocery store. I couldn't get a ride and walked the whole way in the pouring rain, damaging my food.",1
3983,I was eating some almonds and cracked my back tooth. I went to the dentist and I had to get my tooth pulled.,I was eating some almonds and cracked my back tooth. I went to the dentist and found out I cracked more than one tooth.,0
3984,I dropped out of high school.,I dropped out of high school. I got my GED on my first try.,1
3985,I was getting ready to go to the concert when I noticed that the ticket was for tomorrow night.,I was getting ready to go to the concert when I noticed that the ticket was for last night.,0
3986,"I took my brother and his cat to the vet clinic, and after the cat was examined, we got some answers to our questions that were not easy to hear.","I took my brother and his cat to the vet clinic, and after the cat was examined, he was given a clean bill of health and we got answers to our many questions.",1
3987,I found a videotape to watch with my family that focused on the care bears.,I found a videotape to watch with my family that turned out to be porn.,0
3988,I visited a theme park attraction designed like a pirate ship. I was electrocuted by a malfunctioning animatronic.,I visited a theme park attraction designed like a pirate ship. The animatronics were clearly malfunctioning.,1
3989,I decided to visit the neighborhood pool. There was no place for me to put my towel down because it was crowded.,I decided to visit the neighborhood pool. The pool wasn't open at the time.,0
3990,"My husband and I wanted to spend more time on the hiking trail and try to summit, and as clouds began to gather, we were filled with unease but decided to go for it, and then the storm hit.","My husband and I wanted to spend more time on the hiking trail and try to summit, but as clouds began to gather, we decided to head back down and made it just as the storm hit.",1
3991,The barista mixed my coffee drink at the coffee house. The coffee came out quickly.,The barista mixed my coffee drink at the coffee house.,0
3992,I went into the streets to do some street photography. I accidentally stepped in dog poop.,I went into the streets to do some street photography.,1
3993,I went to the bank yesterday and found out I got a rebate check.  I went to the bank yesterday.,I went to the bank yesterday and found out I got a rebate check.  I went to the bank yesterday and found out I had an unpaid bill.,0
3994,I tried my hand at making sourdough bread at home. Something tasted slightly off.,I tried my hand at making sourdough bread at home.,1
3995,I got caught outside without a light. The streetlights suddenly went out.,"I got caught outside without a light. I saw a figure, dark, rushing toward me, causing fear.",0
3996,The police called me and asked me to go to their station. I ended up getting arrested for a crime I didn't commit.,The police called me and asked me to go to their station. I was told I have 5 overdue parking tickets and that I'd need to pay them or lose my license.,1
3997,My aunt and I played quiddler and I won the game and she lost the game.,My aunt and I played quiddler and I lost the game and she won the game.,0
3998,"I brought my car to the shop for an oil change.  The mechanic told me I had a flat tire, and it was unable to be patched up so I had to buy a new one.","I brought my car to the shop for an oil change.  The mechanic told me I had a flat tire, but he was able to patch it up.",1
3999,I wasn't able to play at the basketball game because I couldn't find my uniform.,I wasn't able to play at the basketball game because I had a broken ankle.,0
4000,I decided to go to work as a waiter.,I decided to go to work as a waiter. I got extra money in tips during my shift.,1
4001,I decided to keep a chicken coop in the backyard. We're looking forward to when they start laying eggs.,I decided to keep a chicken coop in the backyard.,0
4002,I go out driving on the freeway. My car runs out of gas.,I go out driving on the freeway.,1
4003,I started playing guitar last week. One of the strings broke.,"I started playing guitar last week. I dont think its for me, i'm quitting.",0
4004,My girlfriend and I went to Florida for spring break.,My girlfriend and I went to Florida for spring break. We somehow managed to find a secluded beach and spent the whole time relaxing in hammocks.,1
4005,I took my shirts to the laundry.,"I took my shirts to the laundry. I forgot my change, i had to go back home and back to the laundry.",0
4006,I volunteered during an open mic performance. No one laughed at my jokes.,I volunteered during an open mic performance.,1
4007,"I sat down and drew a picture. I posted a picture on social media, and someone bought it for a million bucks!","I sat down and drew a picture. My wife was so impressed with it, she framed it and put it on the wall.",0
4008,I wanted to drop some stuff at the landfill and they were closed.,I wanted to drop some stuff at the landfill and they were open.,1
4009,I decided to go to my local library.  I stayed for a bit.,I decided to go to my local library.,0
4010,I played a round of golf. I broke my several clubs.,I played a round of golf.,1
4011,I put my coffee maker up for sale on Offer Up last week. Someone messaged me today and said they'll only buy it at half price.,I put my coffee maker up for sale on Offer Up last week. Someone reported my post and got it removed from the site.,0
4012,We were hanging out by the swimming pool. The sky was kind of cloudy.,We were hanging out by the swimming pool.,1
4013,My mouth was very sore every morning when I woke up lately.  My doctor gave me some prescription lip balm and it cleared up quickly. ,My mouth was very sore every morning when I woke up lately.  My friends made a joke about it saying I even talk too much in my sleep and that's why it's always sore. ,0
4014,I decided to try keeping a ferret. I didn't realize how strongly they smelled.,I decided to try keeping a ferret.,1
4015,"When we were dressing to participate in the trade show, I put on a skirt and my husband whistled.","When we were dressing to participate in the trade show, I put on a skirt and my husband snorted.",0
4016,I went to the doctor's office for a checkup.,I went to the doctor's office for a checkup. I didn't have to wait long to see the doctor.,1
4017,I was awakened this morning by the soft music coming from my clock-radio.,I was awakened this morning by a loud alarm coming from my clock-radio.,0
4018,I went to the county fair on Saturday.,I went to the county fair on Saturday. I had a fun time.,1
4019,My family and I spent the weekend on my brother's yacht. We sailed to a tropical island and partied all weekend.,My family and I spent the weekend on my brother's yacht.,0
4020,I took pictures of the unique eclipse. I dropped my camera and cracked the casing of it.,I took pictures of the unique eclipse. The pictures came out blurry.,1
4021,I decided to go for a drive out in the country. I met a beautiful woman whose car had broken down. We decided to picnic in the lovely weather that day We got engaged a year later!,I decided to go for a drive out in the country. The weather was lovely.,0
4022,I went to walk my dog in the park. I lost my dog while in the park.,I went to walk my dog in the park.,1
4023,I decided to grow saffron producing crocus. The job afforded me opportunities to be in fresh clean air.,I decided to grow saffron producing crocus.,0
4024,Every morning I milk our goat.,Every morning I milk our goat. Today she was calm and cooperative.,1
4025,"I went to get my daily mail from the box. I won a contest, netting me a new bike.",I went to get my daily mail from the box.,0
4026,I was using the computer in my bedroom.,I was using the computer in my bedroom. I was watching a comedy movie.,1
4027,I was trying to light a candle. I lit a match but I couldn't get it to the wick in time.,I was trying to light a candle. I accidentally snapped the wick and had to dig into the candle to find it again.,0
4028,I won a trip to jail in a pie throwing contest. ,I won a free goldfish in a pie eating contest. ,1
4029,I went into a public restroom. It smelled really bad.,I went into a public restroom. The toilet was flooded causing it to smell.,0
4030,I tried to develop my own dry cleaning method.,I tried to develop my own dry cleaning method. I was finally able to clean my overcoat.,1
4031,"My ankle really started to bother me after gym class one day.  It became a sharp, shooting pain when I was riding my bike home.",My ankle really started to bother me after gym class one day.  After weeks of it hurting I went to get it looked at and found out that I had a rare tumor in my joint. ,0
4032,My mom took me to the fair. She bought me a corn dog and a soda.,"My mom took me to the fair. She bought me a corn dog, lemonade, and a funnel cake.",1
4033,I looked outside and saw that my car's window was dirty.,I looked outside and saw that my car's window was broken.,0
4034,I wanted to be a tattoo artist. ,I wanted to be a tattoo artist.  I was hired right out of my apprenticeship. ,1
4035,"I had to insert rings in our hog's noses to stop their incessant rooting. The animals would wriggle away from you, tipping you over.","I had to insert rings in our hog's noses to stop their incessant rooting. sometimes your finger would get caught in the ring device, hurting your finger.",0
4036,I decided to embroider a pillow case. I got tired of pricking my fingers until they bled.,I decided to embroider a pillow case. I got bored halfway through.,1
4037,I recently got a new lamp.,I recently got a new lamp. It is ugly but works.,0
4038,I went to audition for American Idol.,I went to audition for American Idol. I made it to the next round but got sent home before round 3.,1
4039,"Yellow jackets began building a nest in the ground. The insects swarmed on fruits in my garden eating some of the fruit, and making it impossible for me to enjoy my garden.","Yellow jackets began building a nest in the ground. The Yellow Jackets stung me badly, causing an allergic reaction.",0
4040,"When I see my pigs rooting around in the mud, they often start fighting.","When I see my pigs rooting around in the mud, they look very content.",1
4041,I came in to work and immediately got called into the HR's office. Because of my performance they gave me a decent raise.,I came in to work and immediately got called into the HR's office.,0
4042,I went on a website to trace my genealogy and found out that I had a cousin who was a criminal. ,I went on a website to trace my genealogy and found out that I had a cousin in Ireland. ,1
4043,I learned how to sew with a sewing machine. I was able to repair holes in my clothes now.,I learned how to sew with a sewing machine.,0
4044,I went camping over the weekend. It rained so much I couldn't start a campfire.,I went camping over the weekend.,1
4045,My cat got along well with my newborn baby when we brought her in.,My cat hissed at my newborn baby when we brought her in.,0
4046,I used the WiFi on the bus to send a few work emails. The connectivity was so bad that it took twice as long as usual.,I used the WiFi on the bus to send a few work emails.,1
4047,I decided to make a treasure hunt for my kids in our backyard. It gave me a little time to relax.,I decided to make a treasure hunt for my kids in our backyard.,0
4048,I got a new home.,I got a new home. I got gifts during my house warming party.,1
4049,I was camping with my dad. We slept in an RV.,I was camping with my dad.,0
4050,I decided to call my Congressional representative. Her staffer said that people like me are everything that's wrong with America.,I decided to call my Congressional representative. Her staffer said she took the opposite position than me on this issue.,1
4051,I went to the sink to get some water.  There was brown water out of the tap.,I went to the sink to get some water.  I ended up choking on the water.,0
4052,My mother told me to pack my suitcase.,My mother told me to pack my suitcase. She told me we were going on a trip to my grandma’s 15 minutes away.,1
4053,I went to the goodwill second hand store. I found the shirt I was looking for.,I went to the goodwill second hand store.,0
4054,I learned how to play the trumpet. I dropped the trumpet on the ground.,I learned how to play the trumpet. I keep confusing all of the notes.,1
4055,I decided to buy some produce at the farmer's market. I had to scrub mud off of it.,I decided to buy some produce at the farmer's market. It was all infested with worms.,0
4056,We finally got to visit our campsite after a long winter.,We finally got to visit our campsite after a long winter.  We organized everything.,1
4057,"I took up a babysitting job. The mother of the children refused to pay me my asking price, and only paid me half.","I took up a babysitting job. The mother of the children said I was too young to get paid, and didn't pay me.",0
4058,I lost a bet with my spouse. I had to buy them a trip to the spa.,"I lost a bet with my spouse. I was forced to bake them their favorite pie, with home made crust.",1
4059,I was running through a pasture. I fell face first in a pile of cow dung.,I was running through a pasture. I came across a deadly snake nest and was bit.,0
4060,I was up to bat in my baseball game. I hit the ball past the first basemen.,I was up to bat in my baseball game. I hit a homerun over the fence.,1
4061,I was working at the factory. My boss offered me a raise.,I was working at the factory. My boss brought lunch for the department.,0
4062,I visited my local Nature Conservatory with a friend.,I visited my local Nature Conservatory with a friend. There were colorful flowers there.,1
4063,I walked up to pet a dog being walked by a lady on the street.  The dog was a little hesitant to be pet.,I walked up to pet a dog being walked by a lady on the street.  The lady told me to get away from her and stormed off.,0
4064,I was practicing juggling. I threw the balls up and one accidentally broke my ceiling fan.,I was practicing juggling. I threw the balls up but I couldn't catch them.,1
4065,I turned on the TV and watched the news.,I turned on the TV and watched the news. I realized there had been a serious mass shooting.,0
4066,My childhood friend lost my new game yesterday ,My childhood friend bought me a new game yesterday ,1
4067,I was lying down in bed. I was reading my favorite book.,I was lying down in bed.,0
4068,I went turkey hunting deep in the woods. I got lost in the woods and had to spend the night in the cold.,I went turkey hunting deep in the woods. I was out all day and didn't see even one Turkey.,1
4069,"I was feeding my son his dinner, he told me about his day at school.","I was feeding my son his dinner, he spilled juice all over the floor.",0
4070,"I wore a mask to the store, and it made my nose itchy.","I wore a mask to the store, and used some hand sanitizer.",1
4071,I finished a novel yesterday and I think I will be subscribing to the author's fan club.,I finished a novel yesterday and I think I will not be buying the sequel.,0
4072,I was using the computer in my bedroom. The volume on the computer wasn't very loud.,I was using the computer in my bedroom.,1
4073,I went to a rock concert with my biggest crush who loved the band. ,I went to a rock concert with a friend of friend who liked the band. ,0
4074,I go out driving on the freeway. I get pulled over and ticketed by an officer.,I go out driving on the freeway. My car runs out of gas.,1
4075,I took a nap outside on my hammock.  I forgot to set an alarm and missed a dinner date.,I took a nap outside on my hammock.  A bird flew over me and pooped all over me and got in my hair.,0
4076,At the disco this weekend I drank some juice.,At the disco this weekend I danced with my girlfriend.,1
